Div,LeagueJC,LeagueNameJC,LeagueShortNameJC
D1,German Division 1 [GSL],German Division 1,GSL
D2,German Division 2 [GD2],German Division 2,GD2
E0,Eng Premier [EPL],Eng Premier,EPL
E1,Eng Championship [ED1],Eng Championship,ED1
E2,Eng League 1 [ED2],Eng League 1,ED2
F1,French Division 1 [FFL],French Division 1,FFL
F2,French Division 2 [FF2],French Division 2,FF2
I1,Italian Division 1 [ISA],Italian Division 1,ISA
I2,Italian Division 2 [ID2],Italian Division 2,ID2
SP1,Spanish Division 1 [SFL],Spanish Division 1,SFL
SP2,Spanish Division 2 [SF2],Spanish Division 2,SF2
UCL,UE Champions [UCL],UE Champions,UCL
UEC,UE Cup [UEC],UE Cup,UEC
UEF,UE Conference [UEF],UE Conference,UEF
