League,TeamName,TeamNameJC
D,Augsburg,Augsburg
D,Bayern Munich,Bayern Munich
D,Bielefeld,Bielefeld
D,Bochum,Bochum
D,Braunschweig,Braunschweig
D,Darmstadt,Darmstadt
D,Dortmund,Dortmund
D,Dresden,Dresden
D,Duisburg,Duisburg
D,Ein Frankfurt,Frankfurt
D,Elversberg,Elversberg
D,Erzgebirge Aue,Aue
D,FC Koln,Cologne
D,Fortuna Dusseldorf,Dusseldorf
D,Freiburg,Freiburg
D,Greuther Furth,Greuther Furth
D,Hamburg,Hamburg
D,Hannover,Hannover
D,Hansa Rostock,Rostock
D,Heidenheim,Heidenheim
D,Hertha,Hertha Berlin
D,Hoffenheim,Hoffenheim
D,Holstein Kiel,Holstein Kiel
D,Ingolstadt,Ingolstadt
D,Kaiserslautern,Kaiserslautern
D,Karlsruhe,Karlsruher
D,Leverkusen,Leverkusen
D,M'gladbach,Monchengladbach
D,Magdeburg,Magdeburg
D,Mainz,Mainz
D,Nurnberg,Nurnberg
D,Osnabruck,Osnabruck
D,Paderborn,Paderborn
D,RB Leipzig,RB Leipzig
D,Regensburg,Jahn Regensburg
D,Sandhausen,Sandhausen
D,Schalke 04,Schalke 04
D,St Pauli,St. Pauli
D,Stuttgart,Stuttgart
D,Union Berlin,Union Berlin
D,Wehen,Wehen
D,Werder Bremen,Werder Bremen
D,Wolfsburg,Wolfsburg
D,Wurzburger Kickers,Wurzburger Kickers
E,AFC Wimbledon,AFC Wimbledon
E,Accrington,Accrington Stanley
E,Arsenal,Arsenal
E,Aston Villa,Aston Villa
E,Barnet,Barnet
E,Barnsley,Barnsley
E,Barrow,Barrow
E,Birmingham,Birmingham
E,Blackburn,Blackburn
E,Blackpool,Blackpool
E,Bolton,Bolton
E,Bournemouth,Bournemouth
E,Bradford,Bradford
E,Brentford,Brentford
E,Brighton,Brighton
E,Bristol City,Bristol City
E,Bristol Rvs,Bristol Rovers
E,Burnley,Burnley
E,Burton,Burton Albion
E,Bury,Bury
E,Cambridge,Cambridge Utd
E,Cardiff,Cardiff
E,Carlisle,Carlisle
E,Charlton,Charlton
E,Chelsea,Chelsea
E,Cheltenham,Cheltenham
E,Chesterfield,Chesterfield
E,Colchester,Colchester
E,Coventry,Coventry
E,Crawley Town,Crawley Town
E,Crewe,Crewe
E,Crystal Palace,Crystal Palace
E,Derby,Derby
E,Doncaster,Doncaster
E,Everton,Everton
E,Exeter,Exeter City
E,Fleetwood Town,Fleetwood
E,Forest Green,Forest Green Rovers
E,Fulham,Fulham
E,Gillingham,Gillingham
E,Grimsby,Grimsby
E,Harrogate,Harrogate Town
E,Hartlepool,Hartlepool Utd
E,Huddersfield,Huddersfield
E,Hull,Hull City
E,Ipswich,Ipswich
E,Leeds,Leeds
E,Leicester,Leicester
E,Leyton Orient,Leyton Orient
E,Lincoln,Lincoln City
E,Liverpool,Liverpool
E,Luton,Luton
E,Macclesfield,Macclesfield
E,Man City,Manchester City
E,Man United,Manchester Utd
E,Mansfield,Mansfield
E,Middlesbrough,Middlesbrough
E,Millwall,Millwall
E,Milton Keynes Dons,Milton Keynes Dons
E,Morecambe,Morecambe
E,Newcastle,Newcastle
E,Newport County,Newport County
E,Northampton,Northampton
E,Norwich,Norwich
E,Nott'm Forest,Nottingham Forest
E,Notts County,Notts County
E,Oldham,Oldham
E,Oxford,Oxford Utd
E,Peterboro,Peterborough
E,Plymouth,Plymouth
E,Port Vale,Port Vale
E,Portsmouth,Portsmouth
E,Preston,Preston
E,QPR,QPR
E,Reading,Reading
E,Rochdale,Rochdale
E,Rotherham,Rotherham
E,Salford,Salford City
E,Scunthorpe,Scunthorpe
E,Sheffield United,Sheff Utd
E,Sheffield Weds,Sheff Wednesday
E,Shrewsbury,Shrewsbury
E,Southampton,Southampton
E,Southend,Southend
E,Stevenage,Stevenage
E,Stoke,Stoke
E,Sunderland,Sunderland
E,Sutton,Sutton Utd
E,Swansea,Swansea
E,Swindon,Swindon
E,Tottenham,Tottenham
E,Tranmere,Tranmere
E,Walsall,Walsall
E,Watford,Watford
E,West Brom,West Bromwich
E,West Ham,West Ham
E,Wigan,Wigan
E,Wolves,Wolves
E,Wycombe,Wycombe
E,Yeovil,Yeovil
F,Ajaccio,AC Ajaccio
F,Ajaccio GFCO,GFCO Ajaccio
F,Amiens,Amiens
F,Angers,Angers SCO
F,Auxerre,Auxerre
F,Bastia,Bastia
F,Beziers,AS Beziers
F,Bordeaux,Bordeaux
F,Bourg Peronnas,Bourg Peronnas
F,Brest,Brest
F,Caen,Caen
F,Chambly,Chambly
F,Chateauroux,Chateauroux
F,Clermont,Clermont
F,Concarneau,Concarneau
F,Dijon,Dijon
F,Dunkerque,Dunkerque
F,Grenoble,Grenoble Foot
F,Guingamp,Guingamp
F,Le Havre,Le Havre
F,Le Mans,Le Mans
F,Lens,Lens
F,Lille,Lille
F,Lorient,Lorient
F,Lyon,Lyon
F,Marseille,Marseille
F,Metz,Metz
F,Monaco,Monaco
F,Montpellier,Montpellier
F,Nancy,Nancy
F,Nantes,Nantes
F,Nice,Nice
F,Nimes,Olympique Nimes
F,Niort,Niort
F,Orleans,Orleans
F,Paris FC,Paris FC
