MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly_hi,kelly_lo,kelly,bet,*
SUN14,2021-09-19,19:30:00,German Division 2 [GD2],St. Pauli,Ingolstadt,13.5,5.1,1.12,0.07,0.93,-0.15,0.33,0.33,Low,
SUN14,2021-09-19,19:30:00,German Division 2 [GD2],St. Pauli,Ingolstadt,10.5,2.25,1.57,0.25,0.75,-0.36,0.32,0.32,Low,
SUN14,2021-09-19,19:30:00,German Division 2 [GD2],St. Pauli,Ingolstadt,9.5,1.8,1.9,0.34,0.66,-0.48,0.28,0.28,Low,*
FRI20,2021-09-18,03:00:00,French Division 1 [FFL],Strasbourg,Metz,10.5,2.4,1.5,0.27,0.73,-0.25,0.19,0.19,Low,
FRI20,2021-09-18,03:00:00,French Division 1 [FFL],Strasbourg,Metz,9.5,1.9,1.8,0.37,0.63,-0.33,0.17,0.17,Low,*
SAT67,2021-09-18,22:15:00,Spanish Division 1 [SFL],Atletico Madrid,Bilbao,10.5,2.55,1.45,0.26,0.74,-0.22,0.17,0.17,Low,
SAT67,2021-09-18,22:15:00,Spanish Division 1 [SFL],Atletico Madrid,Bilbao,9.5,1.97,1.73,0.36,0.64,-0.31,0.16,0.16,Low,*
SUN13,2021-09-19,19:30:00,German Division 2 [GD2],Aue,Paderborn,9.5,1.95,1.75,0.58,0.42,0.14,-0.36,0.14,High,*
FRI20,2021-09-18,03:00:00,French Division 1 [FFL],Strasbourg,Metz,12.5,4.3,1.17,0.13,0.87,-0.14,0.13,0.13,Low,
SUN13,2021-09-19,19:30:00,German Division 2 [GD2],Aue,Paderborn,10.5,2.45,1.48,0.48,0.52,0.12,-0.47,0.12,High,
SAT21,2021-09-18,19:30:00,Eng Premier [EPL],Wolves,Brentford,10.5,2.25,1.57,0.33,0.67,-0.21,0.1,0.1,Low,
SAT71,2021-09-18,23:00:00,French Division 1 [FFL],Lens,Lille,9.5,1.93,1.77,0.4,0.6,-0.25,0.09,0.09,Low,
SUN12,2021-09-19,19:30:00,German Division 2 [GD2],Darmstadt,Dresden,9.5,1.88,1.82,0.56,0.44,0.07,-0.25,0.07,High,
FRI4,2021-09-18,00:30:00,German Division 2 [GD2],Schalke 04,Karlsruher,10.5,2.25,1.57,0.34,0.66,-0.19,0.06,0.06,Low,
SAT71,2021-09-18,23:00:00,French Division 1 [FFL],Lens,Lille,10.5,2.5,1.46,0.3,0.7,-0.17,0.06,0.06,Low,
SAT21,2021-09-18,19:30:00,Eng Premier [EPL],Wolves,Brentford,11.5,2.95,1.34,0.24,0.76,-0.15,0.06,0.06,Low,
FRI3,2021-09-18,00:30:00,German Division 2 [GD2],Nurnberg,Rostock,9.5,1.9,1.8,0.56,0.44,0.06,-0.25,0.06,High,
SAT67,2021-09-18,22:15:00,Spanish Division 1 [SFL],Atletico Madrid,Bilbao,13.5,5.8,1.09,0.08,0.92,-0.11,0.06,0.06,Low,
SAT33,2021-09-18,21:30:00,German Division 1 [GSL],Augsburg,Monchengladbach,9.5,1.93,1.77,0.41,0.59,-0.23,0.06,0.06,Low,
SAT32,2021-09-18,21:30:00,German Division 1 [GSL],Bayern Munich,Bochum,10.5,1.78,1.92,0.45,0.55,-0.25,0.06,0.06,Low,
FRI19,2021-09-18,03:00:00,Spanish Division 1 [SFL],Celta Vigo,Cadiz,9.5,2.58,1.44,0.42,0.58,0.06,-0.38,0.06,High,
SUN12,2021-09-19,19:30:00,German Division 2 [GD2],Darmstadt,Dresden,10.5,2.35,1.52,0.46,0.54,0.05,-0.34,0.05,High,
SAT33,2021-09-18,21:30:00,German Division 1 [GSL],Augsburg,Monchengladbach,10.5,2.45,1.48,0.31,0.69,-0.17,0.05,0.05,Low,
SAT32,2021-09-18,21:30:00,German Division 1 [GSL],Bayern Munich,Bochum,11.5,2.2,1.59,0.35,0.65,-0.19,0.05,0.05,Low,
FRI19,2021-09-18,03:00:00,Spanish Division 1 [SFL],Celta Vigo,Cadiz,8.5,1.95,1.75,0.54,0.46,0.05,-0.25,0.05,High,
FRI4,2021-09-18,00:30:00,German Division 2 [GD2],Schalke 04,Karlsruher,9.5,1.83,1.87,0.44,0.56,-0.22,0.04,0.04,Low,
SUN13,2021-09-19,19:30:00,German Division 2 [GD2],Aue,Paderborn,13.5,5.55,1.1,0.22,0.78,0.04,-1.38,0.04,High,
FRI3,2021-09-18,00:30:00,German Division 2 [GD2],Nurnberg,Rostock,10.5,2.35,1.52,0.45,0.55,0.04,-0.31,0.04,High,
SAT38,2021-09-18,22:00:00,Eng Premier [EPL],Manchester City,Southampton,11.5,2.1,1.65,0.38,0.62,-0.18,0.03,0.03,Low,
SUN15,2021-09-19,20:00:00,Spanish Division 1 [SFL],Mallorca,Villarreal,9.5,2.43,1.49,0.43,0.57,0.03,-0.3,0.03,High,
SUN22,2021-09-19,21:00:00,French Division 1 [FFL],Clermont,Brest,10.5,2.1,1.65,0.38,0.62,-0.18,0.03,0.03,Low,
FRI15,2021-09-18,02:30:00,German Division 1 [GSL],Hertha Berlin,Greuther Furth,10.5,2.5,1.46,0.41,0.59,0.02,-0.32,0.02,High,
SUN60,2021-09-20,03:00:00,Spanish Division 1 [SFL],Valencia,Real Madrid,9.5,1.85,1.85,0.45,0.55,-0.2,0.02,0.02,Low,
